tick,charge,freeInk,reservedInk,remaining,shotSequence,phase
105,105,84.54289,15.4569111,0,0,Charging
106,106,84.38901,15.610795,0,0,Charging
107,107,84.23512,15.764678,0,0,Charging
108,108,84.08124,15.9185591,0,0,Charging
109,109,83.92735,16.072443,0,0,Charging
110,110,83.77347,16.2263241,0,0,Charging
111,111,83.61958,16.3802071,0,0,Charging
112,112,83.4657,16.53409,0,0,Charging
113,113,83.31181,16.687973,0,0,Charging
114,114,83.15793,16.841856,0,0,Charging
115,115,83.00404,16.9957371,0,0,Charging
116,116,82.85016,17.14962,0,0,Charging
117,117,82.69627,17.303503,0,0,Charging
118,118,82.54239,17.457386,0,0,Charging
119,119,82.388504,17.6112671,0,0,Charging
120,120,82.23462,17.76515,0,0,Charging
121,121,81.6601257,18.3396454,0,0,Charging
122,122,81.08563,18.91414,0,0,Charging
123,123,80.51114,19.488636,0,0,Charging
124,124,79.9366455,20.06313,0,0,Charging
125,125,79.36215,20.6376266,0,0,Charging
126,126,78.78766,21.21212,0,0,Charging
127,127,78.2131653,21.7866135,0,0,Charging
128,128,77.63867,22.36111,0,0,Charging
129,129,77.06418,22.9356041,0,0,Charging
130,130,76.4896851,23.5101,0,0,Charging
131,131,75.91519,24.0845947,0,0,Charging
132,132,75.3407,24.65909,0,0,Charging
133,133,74.7662048,25.2335835,0,0,Charging
134,134,74.19171,25.80808,0,0,Charging
135,135,73.61722,26.3825741,0,0,Charging
136,136,73.0427246,26.9570713,0,0,Charging
137,137,72.46823,27.5315647,0,0,Charging
138,138,71.89374,28.10606,0,0,Charging
139,139,71.3192444,28.6805534,0,0,Charging
140,140,70.74475,29.2550488,0,0,Charging
141,141,70.17026,29.8295441,0,0,Charging
142,142,69.5957642,30.4040375,0,0,Charging
143,143,69.02127,30.9785347,0,0,Charging
144,144,68.44678,31.5530281,0,0,Charging
145,145,67.8722839,32.12752,0,0,Charging
146,146,67.29779,32.70202,0,0,Charging
147,147,66.7233,33.2765121,0,0,Charging
148,148,66.1488,33.85101,0,0,Charging
149,149,65.57431,34.4255028,0,0,Charging
150,150,64.99982,34.469696,65,1,Firing
151,150,64.99982,34.469696,65,1,Firing
152,150,64.99982,34.469696,65,1,Firing
153,150,64.99982,34.469696,65,1,Firing
154,150,64.99982,33.9393921,64,2,Firing
155,150,64.99982,33.9393921,64,2,Firing
156,150,64.99982,33.9393921,64,2,Firing
157,150,64.99982,33.9393921,64,2,Firing
158,150,64.99982,33.40909,63,3,Firing
159,150,64.99982,33.40909,63,3,Firing
160,150,64.99982,33.40909,63,3,Firing
161,150,64.99982,33.40909,63,3,Firing
162,150,64.99982,32.8787842,62,4,Firing
163,150,64.99982,32.8787842,62,4,Firing
164,150,64.99982,32.8787842,62,4,Firing
165,150,64.99982,32.8787842,62,4,Firing
166,150,64.99982,32.34848,61,5,Firing
167,150,64.99982,32.34848,61,5,Firing
168,150,64.99982,32.34848,61,5,Firing
169,150,64.99982,32.34848,61,5,Firing
170,150,64.99982,31.8181763,60,6,Firing
171,150,64.99982,31.8181763,60,6,Firing
172,150,64.99982,31.8181763,60,6,Firing
173,150,64.99982,31.8181763,60,6,Firing
174,150,64.99982,31.2878723,59,7,Firing
175,150,64.99982,31.2878723,59,7,Firing
176,150,64.99982,31.2878723,59,7,Firing
177,150,64.99982,31.2878723,59,7,Firing
178,150,64.99982,30.7575684,58,8,Firing
179,150,64.99982,30.7575684,58,8,Firing
180,150,64.99982,30.7575684,58,8,Firing
181,150,64.99982,30.7575684,58,8,Firing
182,150,64.99982,30.2272644,57,9,Firing
183,150,64.99982,30.2272644,57,9,Firing
184,150,64.99982,30.2272644,57,9,Firing
185,150,64.99982,30.2272644,57,9,Firing
186,150,64.99982,29.69696,56,10,Firing
187,150,64.99982,29.69696,56,10,Firing
188,150,64.99982,29.69696,56,10,Firing
189,150,64.99982,29.69696,56,10,Firing
190,150,64.99982,29.1666565,55,11,Firing
191,150,64.99982,29.1666565,55,11,Firing
192,150,64.99982,29.1666565,55,11,Firing
193,150,64.99982,29.1666565,55,11,Firing
194,150,64.99982,28.6363525,54,12,Firing
195,150,64.99982,28.6363525,54,12,Firing
196,150,64.99982,28.6363525,54,12,Firing
197,150,64.99982,28.6363525,54,12,Firing
198,150,64.99982,28.1060486,53,13,Firing
199,150,64.99982,28.1060486,53,13,Firing
200,150,64.99982,28.1060486,53,13,Firing
201,150,64.99982,28.1060486,53,13,Firing
202,150,64.99982,27.5757446,52,14,Firing
203,150,64.99982,27.5757446,52,14,Firing
204,150,64.99982,27.5757446,52,14,Firing
205,150,64.99982,27.5757446,52,14,Firing
206,150,64.99982,27.04544,51,15,Firing
207,150,64.99982,27.04544,51,15,Firing
208,150,64.99982,27.04544,51,15,Firing
209,150,64.99982,27.04544,51,15,Firing
210,150,64.99982,26.5151367,50,16,Firing
211,150,64.99982,26.5151367,50,16,Firing
212,150,64.99982,26.5151367,50,16,Firing
213,150,64.99982,26.5151367,50,16,Firing
214,150,64.99982,25.9848328,49,17,Firing
215,150,64.99982,25.9848328,49,17,Firing
216,150,64.99982,25.9848328,49,17,Firing
217,150,64.99982,25.9848328,49,17,Firing
218,150,64.99982,25.4545288,48,18,Firing
219,150,64.99982,25.4545288,48,18,Firing
220,150,64.99982,25.4545288,48,18,Firing
221,150,64.99982,25.4545288,48,18,Firing
222,150,64.99982,24.9242249,47,19,Firing
223,150,64.99982,24.9242249,47,19,Firing
224,150,64.99982,24.9242249,47,19,Firing
225,150,64.99982,24.9242249,47,19,Firing
226,150,64.99982,24.39392,46,20,Firing
227,150,64.99982,24.39392,46,20,Firing
228,150,64.99982,24.39392,46,20,Firing
229,150,64.99982,24.39392,46,20,Firing
230,150,64.99982,23.8636169,45,21,Firing
231,150,64.99982,23.8636169,45,21,Firing
232,150,64.99982,23.8636169,45,21,Firing
233,150,64.99982,23.8636169,45,21,Firing
234,150,64.99982,23.333313,44,22,Firing
235,150,64.99982,23.333313,44,22,Firing
236,150,64.99982,23.333313,44,22,Firing
237,150,64.99982,23.333313,44,22,Firing
238,150,64.99982,22.803009,43,23,Firing
239,150,64.99982,22.803009,43,23,Firing
240,150,64.99982,22.803009,43,23,Firing
241,150,64.99982,22.803009,43,23,Firing
242,150,64.99982,22.2727051,42,24,Firing
243,150,64.99982,22.2727051,42,24,Firing
244,150,64.99982,22.2727051,42,24,Firing
245,150,64.99982,22.2727051,42,24,Firing
246,150,64.99982,21.7424011,41,25,Firing
247,150,64.99982,21.7424011,41,25,Firing
248,150,64.99982,21.7424011,41,25,Firing
249,150,64.99982,21.7424011,41,25,Firing
250,150,64.99982,21.2120972,40,26,Firing
251,150,64.99982,21.2120972,40,26,Firing
252,150,64.99982,21.2120972,40,26,Firing
253,150,64.99982,21.2120972,40,26,Firing
254,150,64.99982,20.6817932,39,27,Firing
255,150,64.99982,20.6817932,39,27,Firing
256,150,64.99982,20.6817932,39,27,Firing
257,150,64.99982,20.6817932,39,27,Firing
258,150,64.99982,20.15149,38,28,Firing
259,150,64.99982,20.15149,38,28,Firing
260,150,64.99982,20.15149,38,28,Firing
261,150,64.99982,20.15149,38,28,Firing
262,150,64.99982,19.6211853,37,29,Firing
263,150,64.99982,19.6211853,37,29,Firing
264,150,64.99982,19.6211853,37,29,Firing
265,150,64.99982,19.6211853,37,29,Firing
266,150,64.99982,19.0908813,36,30,Firing
267,150,64.99982,19.0908813,36,30,Firing
268,150,64.99982,19.0908813,36,30,Firing
269,150,64.99982,19.0908813,36,30,Firing
270,150,64.99982,18.5605774,35,31,Firing
271,150,64.99982,18.5605774,35,31,Firing
272,150,64.99982,18.5605774,35,31,Firing
273,150,64.99982,18.5605774,35,31,Firing
274,150,64.99982,18.0302734,34,32,Firing
275,150,64.99982,18.0302734,34,32,Firing
276,150,64.99982,18.0302734,34,32,Firing
277,150,64.99982,18.0302734,34,32,Firing
278,150,64.99982,17.49997,33,33,Firing
279,150,64.99982,17.49997,33,33,Firing
280,150,64.99982,17.49997,33,33,Firing
281,150,64.99982,17.49997,33,33,Firing
282,150,64.99982,16.9696655,32,34,Firing
283,150,64.99982,16.9696655,32,34,Firing
284,150,64.99982,16.9696655,32,34,Firing
285,150,64.99982,16.9696655,32,34,Firing
286,150,64.99982,16.4393616,31,35,Firing
287,150,64.99982,16.4393616,31,35,Firing
288,150,64.99982,16.4393616,31,35,Firing
289,150,64.99982,16.4393616,31,35,Firing
290,150,64.99982,15.9090586,30,36,Firing
291,150,64.99982,15.9090586,30,36,Firing
292,150,64.99982,15.9090586,30,36,Firing
293,150,64.99982,15.9090586,30,36,Firing
294,150,64.99982,15.3787556,29,37,Firing
295,150,64.99982,15.3787556,29,37,Firing
296,150,64.99982,15.3787556,29,37,Firing
297,150,64.99982,15.3787556,29,37,Firing
298,150,64.99982,14.8484526,28,38,Firing
299,150,64.99982,14.8484526,28,38,Firing
300,150,64.99982,14.8484526,28,38,Firing
301,150,64.99982,14.8484526,28,38,Firing
302,150,64.99982,14.31815,27,39,Firing
303,150,64.99982,14.31815,27,39,Firing
304,150,64.99982,14.31815,27,39,Firing
305,150,64.99982,14.31815,27,39,Firing
306,150,64.99982,13.7878466,26,40,Firing
307,150,64.99982,13.7878466,26,40,Firing
308,150,64.99982,13.7878466,26,40,Firing
309,150,64.99982,13.7878466,26,40,Firing
310,150,64.99982,13.2575436,25,41,Firing
311,150,64.99982,13.2575436,25,41,Firing
312,150,64.99982,13.2575436,25,41,Firing
313,150,64.99982,13.2575436,25,41,Firing
314,150,64.99982,12.7272406,24,42,Firing
315,150,64.99982,12.7272406,24,42,Firing
316,150,64.99982,12.7272406,24,42,Firing
317,150,64.99982,12.7272406,24,42,Firing
318,150,64.99982,12.1969376,23,43,Firing
319,150,64.99982,12.1969376,23,43,Firing
320,150,64.99982,12.1969376,23,43,Firing
321,150,64.99982,12.1969376,23,43,Firing
322,150,64.99982,11.6666346,22,44,Firing
323,150,64.99982,11.6666346,22,44,Firing
324,150,64.99982,11.6666346,22,44,Firing
325,150,64.99982,11.6666346,22,44,Firing
326,150,64.99982,11.1363316,21,45,Firing
327,150,64.99982,11.1363316,21,45,Firing
328,150,64.99982,11.1363316,21,45,Firing
329,150,64.99982,11.1363316,21,45,Firing
330,150,64.99982,10.6060286,20,46,Firing
331,150,64.99982,10.6060286,20,46,Firing
332,150,64.99982,10.6060286,20,46,Firing
333,150,64.99982,10.6060286,20,46,Firing
334,150,64.99982,10.0757256,19,47,Firing
335,150,64.99982,10.0757256,19,47,Firing
336,150,64.99982,10.0757256,19,47,Firing
337,150,64.99982,10.0757256,19,47,Firing
338,150,64.99982,9.545423,18,48,Firing
339,150,64.99982,9.545423,18,48,Firing
340,150,64.99982,9.545423,18,48,Firing
341,150,64.99982,9.545423,18,48,Firing
342,150,64.99982,9.01512,17,49,Firing
343,150,64.99982,9.01512,17,49,Firing
344,150,64.99982,9.01512,17,49,Firing
345,150,64.99982,9.01512,17,49,Firing
346,150,64.99982,8.484817,16,50,Firing
347,150,64.99982,8.484817,16,50,Firing
348,150,64.99982,8.484817,16,50,Firing
349,150,64.99982,8.484817,16,50,Firing
350,150,64.99982,7.95451355,15,51,Firing
351,150,64.99982,7.95451355,15,51,Firing
352,150,64.99982,7.95451355,15,51,Firing
353,150,64.99982,7.95451355,15,51,Firing
354,150,64.99982,7.42421055,14,52,Firing
355,150,64.99982,7.42421055,14,52,Firing
356,150,64.99982,7.42421055,14,52,Firing
357,150,64.99982,7.42421055,14,52,Firing
358,150,64.99982,6.89390755,13,53,Firing
359,150,64.99982,6.89390755,13,53,Firing
360,150,64.99982,6.89390755,13,53,Firing
361,150,64.99982,6.89390755,13,53,Firing
362,150,64.99982,6.36360455,12,54,Firing
363,150,64.99982,6.36360455,12,54,Firing
364,150,64.99982,6.36360455,12,54,Firing
365,150,64.99982,6.36360455,12,54,Firing
366,150,64.99982,5.83330154,11,55,Firing
367,150,64.99982,5.83330154,11,55,Firing
368,150,64.99982,5.83330154,11,55,Firing
369,150,64.99982,5.83330154,11,55,Firing
370,150,64.99982,5.30299854,10,56,Firing
371,150,64.99982,5.30299854,10,56,Firing
372,150,64.99982,5.30299854,10,56,Firing
373,150,64.99982,5.30299854,10,56,Firing
374,150,64.99982,4.77269554,9,57,Firing
375,150,64.99982,4.77269554,9,57,Firing
376,150,64.99982,4.77269554,9,57,Firing
377,150,64.99982,4.77269554,9,57,Firing
378,150,64.99982,4.24239254,8,58,Firing
379,150,64.99982,4.24239254,8,58,Firing
380,150,64.99982,4.24239254,8,58,Firing
381,150,64.99982,4.24239254,8,58,Firing
382,150,64.99982,3.71208954,7,59,Firing
383,150,64.99982,3.71208954,7,59,Firing
384,150,64.99982,3.71208954,7,59,Firing
385,150,64.99982,3.71208954,7,59,Firing
386,150,64.99982,3.18178654,6,60,Firing
387,150,64.99982,3.18178654,6,60,Firing
388,150,64.99982,3.18178654,6,60,Firing
389,150,64.99982,3.18178654,6,60,Firing
390,150,64.99982,2.65148354,5,61,Firing
391,150,64.99982,2.65148354,5,61,Firing
392,150,64.99982,2.65148354,5,61,Firing
393,150,64.99982,2.65148354,5,61,Firing
394,150,64.99982,2.12118053,4,62,Firing
395,150,64.99982,2.12118053,4,62,Firing
396,150,64.99982,2.12118053,4,62,Firing
397,150,64.99982,2.12118053,4,62,Firing
398,150,64.99982,1.59087753,3,63,Firing
399,150,64.99982,1.59087753,3,63,Firing
400,150,64.99982,1.59087753,3,63,Firing
401,150,64.99982,1.59087753,3,63,Firing
402,150,64.99982,1.06057453,2,64,Firing
403,150,64.99982,1.06057453,2,64,Firing
404,150,64.99982,1.06057453,2,64,Firing
405,150,64.99982,1.06057453,2,64,Firing
406,150,64.99982,0.53027153,1,65,Firing
407,150,64.99982,0.53027153,1,65,Firing
408,150,64.99982,0.53027153,1,65,Firing
409,150,64.99982,0.53027153,1,65,Firing
410,0,64.99982,0,0,66,Ending
411,0,64.99982,0,0,66,Ending
412,0,64.99982,0,0,66,Ending
413,0,64.99982,0,0,66,Ending
414,0,64.99982,0,0,66,Idle
415,0,64.99982,0,0,66,Idle
