weapon,charge,scenario,driverHz,shots,stamps,impacts,maxOwnedForwardM,ownedWidthM,ownedDepthM,ownedAreaM2,centerlineContinuousM,targetPaintRangeM,targetValidated,gridHash,peakProjectiles,simulationMilliseconds
1,0,continuous,60,20,353,20,19.25,3.375,19.625,34.625,0.75,13.600000381469727,false,c86752554576fd6dbba8d928a54c037a42566d31d8832ae39fee90c6e0bcb991,7,105.4441
1,0,continuous,144,20,385,20,19.25,3.375,19.625,34.953125,0.75,13.600000381469727,false,d6f4ee1a9e3700a90045d485b0c3f21de29da74f376e544557bc93b00c4544ee,7,109.5857
2,0,flat,60,1,16,1,11.75,1.25,12.125,6.453125,0.375,12.369999885559082,false,8da59d01793020b91cbbde093f031f8a457d8978c1a02165dee3e7e12ffb4722,1,40.8008
2,0,up30,60,1,2,1,1.625,0.875,2,0.84375,0.375,12.369999885559082,false,931b3e1c98ba9e47337ec92ea003b79e4bb6c39c40ecb68ca99dff0c0d2621a1,1,34.5427
2,0,down30,60,1,4,1,3,1.375,3.375,1.6875,0.375,12.369999885559082,false,4b63866224ca47969b971eeb3ae05c33e3eda6eb10ba9be5889c2ff787230123,1,34.2943
2,0,wall-near,60,1,2,1,0.375,1.375,1.4375,1.15625,0.375,12.369999885559082,false,56d2e4ab56d39861574b539b94d1be2516d722580f3097c5ba5e955298a6c388,1,35.9716
2,0,wall-middle,60,1,8,1,5.875,1.5,6.4375,3.671875,0.375,12.369999885559082,false,9517bf1ebed5d205e0b0550d6860bc09c3c2efa3f2c191051895978c362f21c9,1,38.3737
2,0,wall-far,60,1,16,1,12.25,1.625,12.625,6.765625,0.375,12.369999885559082,false,dcbe16b9df5d93d3fba39595e6ee5c2c092faa53a6fd0bc333887053366ff380,1,38.9844
2,0,slope,60,1,12,1,6.625,1.5,9.44219970703125,5.015625,0.375,12.369999885559082,false,c420088c07594b614e668824736fe639cf9070d074d19077e03e7c0fed106e73,1,40.4174
2,0,high-drop,60,1,8,1,19.875,1,5.375,3.296875,0,12.369999885559082,false,a1f7b21580eb649e393754da85b036f0673e472cf1ba0b9a0c26733df7942e39,1,33.8522
2,0,occluded,60,1,3,1,2.625,1.125,3,1.21875,0.375,12.369999885559082,false,18484fc33ad6d5ce859d7df9f864702c468fbf62b88790905341b14b4cb3ffc6,1,34.4318
2,0,continuous,30,20,324,20,14.5,2.625,14.875,20.859375,0.5,12.369999885559082,false,9e23e3f7a7b09f2f323970d64dca9b13eb0fac989e19767edb051fc235d63f2c,5,80.882500000000007
2,0,continuous,60,20,324,20,14.5,2.625,14.875,20.859375,0.5,12.369999885559082,false,9e23e3f7a7b09f2f323970d64dca9b13eb0fac989e19767edb051fc235d63f2c,4,85.6927
2,0,continuous,144,20,335,20,14.5,2.625,14.875,21.171875,0.5,12.369999885559082,false,cceccf421291d40230e0e63bf121a0ae05d01667f7221b620acf614ee5d3e98a,4,91.0403
3,0,flat,60,1,106,8,12.875,2.125,12.75,4.390625,0,10.369999885559082,false,e2986c32141c4096f72a809f479cfe3d7e335cfd5f3df6ff6f8835100a2d1d1e,8,50.6897
3,0,up30,60,1,12,8,2.375,0.375,2.125,0.28125,0,10.369999885559082,false,954a8e7a2d8795d52c5e44f61518f2b56dfb4d593ac4034a5f2e3076cb0be37f,8,47.452600000000004
3,0,down30,60,1,30,8,3.625,1.125,3.625,1.21875,0.25,10.369999885559082,false,b0358dd51dc5953109a0e93b6ab16402f1e7afc8af9474579e635fc7d74475c3,8,36.8404
3,0,wall-near,60,1,10,8,1.125,1.375,1,0.609375,0,10.369999885559082,false,b9e27b596c3659f3b4c74a84c9072ae06c7efd10d605e129e3e81757fa9c1083,8,36.1608
3,0,wall-middle,60,1,57,8,5.5,1.375,5.9375,2.453125,0,10.369999885559082,false,6851407308365781ac4208f6193a69dad9ea4b50e993638a018fe4c6da080f21,8,41.8065
3,0,wall-far,60,1,111,8,12,2.125,11.9375,4.765625,0,10.369999885559082,false,b40666b645f647b94957952e9746e005fd733d3a9d207bcb2ceb6b4fd14eb60f,8,49.144400000000005
3,0,slope,60,1,88,8,6.25,1.75,9.88189697265625,3.671875,0,10.369999885559082,false,4eb195c1432a1e6ddf6ecf33777fe52614d7fb0ed3248b725de8d9c9c7d08e8e,8,48.737300000000005
3,0,high-drop,60,1,58,8,19.375,3.25,9.125,4.0625,0,10.369999885559082,false,61a51c4d36e135be55f59a2e6ccd75d30a9d1304abc91d40b7d9d85c04618aa0,8,46.5666
3,0,occluded,60,1,22,8,3.125,1,3,0.53125,0,10.369999885559082,false,17b3cd4c4fa1c57a23dc7adabbfbf871ed3d1a59615a635361d08d42544b8d2f,8,36.2641
3,0,continuous,30,20,2126,160,13.875,2.75,13.75,15.65625,0,10.369999885559082,false,1eb9f3970cdbf357a76a05e2093f57597a6feb194b5a7dd601b4d332dba7c611,17,295.42040000000003
3,0,continuous,60,20,2126,160,13.875,2.75,13.75,15.65625,0,10.369999885559082,false,1eb9f3970cdbf357a76a05e2093f57597a6feb194b5a7dd601b4d332dba7c611,17,212.76700000000002
3,0,continuous,144,20,2165,160,13.875,2.75,13.75,16.09375,0,10.369999885559082,false,6afea4181f272f24c305a92b90675679d7feae301edc33e0f2f4136dd0ce0756,17,251.2307
4,0,flat,60,1,20,1,14.875,0.875,15,3.328125,0.25,15.3100004196167,false,7bcc5de15031ed386e134b6637dcb8f69b7e54064a2afc8967bc4dc2d3d2506a,1,40.2212
4,0,up30,60,1,2,1,1.5,0.5,1.75,0.375,0.25,15.3100004196167,false,c264d3ea1495b57eaca7a832e9bc1bedb9c108b64bc419fe6f2abbb538ce1dae,1,34.8465
4,0,down30,60,1,4,1,2.875,1.125,3,0.890625,0.25,15.3100004196167,false,d80bee01c4ea44acaac1da3c884bf133095a6faa5af4d0e0c78a5d96f27aecc1,1,32.774100000000004
4,0,wall-near,60,1,2,1,0.25,1.125,1.1875,0.53125,0.25,15.3100004196167,false,fa3f1641e8288fb8c20e4d79a9aa026a53dbcf4d63992bed885a38acad5a81eb,1,34.8519
4,0,wall-middle,60,1,8,1,5.75,1.25,6.1875,1.546875,0.25,15.3100004196167,false,317e47618e4e07a03abbf046db88d8bddd6230638fbfdc21520156d3252d65ad,1,35.167
4,0,wall-far,60,1,16,1,11.625,1.25,12.1875,2.78125,0.25,15.3100004196167,false,180825c8c39b764abdf7e145d7323ceb1328bd2219b13526a80342be529d4092,1,36.3042
4,0,slope,60,1,13,1,6.5,1.125,9.89697265625,2.15625,0.25,15.3100004196167,false,2fe1e195dcf51ece94a8da1392691baed429f61e889ee53682866e0de40b2ba1,1,40.778400000000005
4,0,high-drop,60,1,10,1,25.125,0.625,6.75,1.75,0,15.3100004196167,false,8a3d47c7c8c6a16327e32a2e7883f58afe28152b665eda4891676ea3959ed9d7,1,35.5249
4,0,occluded,60,1,3,1,2.5,0.875,2.625,0.484375,0.25,15.3100004196167,false,9509aea8fa18e8bb7ae0dadc7c5504f88337810cbfa654268982f13abc5404e9,1,32.4042
4,0,continuous,30,20,404,20,16.875,1.625,17.125,9.5,0.25,15.3100004196167,false,a4d8fb443fd216854f6db1bbc80b10fd4430858b066f7d308a21b6355561b862,3,69.915500000000009
4,0,continuous,60,20,404,20,16.875,1.625,17.125,9.5,0.25,15.3100004196167,false,a4d8fb443fd216854f6db1bbc80b10fd4430858b066f7d308a21b6355561b862,3,71.7179
4,0,continuous,144,20,393,20,16.875,1.625,17.125,9.96875,0.25,15.3100004196167,false,45acc542fe5fa0fd509de3b3930ca5926b1581e7acc8be281b1ba5359e2257b4,3,79.121400000000008
5,0,flat,60,1,16,1,11.875,1.25,12.375,9.640625,0.375,11.199999809265137,false,238d91ef9703af4651c9f4224716171df895b4960d0b63e836421472fbf0c44b,1,43.5683
5,0,up30,60,1,2,1,1.625,1,2.25,1.40625,0.375,11.199999809265137,false,da87aa14545970285c92cf8730ede87ded58525ff2cd0409f67f72d499340df2,1,32.4104
5,0,down30,60,1,4,1,3.125,1.625,3.625,2.796875,0.5,11.199999809265137,false,93153a41e0e511fb788c6c6870d7419d8a843f0317f9663dfb9a87ec2e6be4b5,1,32.257200000000005
5,0,wall-near,60,1,2,1,0.375,1.625,1.5625,1.640625,0.375,11.199999809265137,false,6850fba2e24faebe7d0b60996f26f955dad4076662b69861b5a1266916699c90,1,36.4681
5,0,wall-middle,60,1,8,1,5.625,1.625,6.5625,5.484375,0.375,11.199999809265137,false,1837b224ec13d43c7a0f965c3dc4026cd81ec769824aa366c554386f8e84aea6,1,36.6563
5,0,wall-far,60,1,16,1,12.125,1.75,12.625,9.859375,0.375,11.199999809265137,false,5331a3caf6aea254c7a40f208c006b99d43066c85209bcf1642ec5340b21ffd7,1,39.9152
5,0,slope,60,1,12,1,6.5,1.625,9.6846923828125,7.5,0.375,11.199999809265137,false,c2d1b3d8955378211c872778621e8b82be1fd4cb41e5e4840eee948637c0d224,1,43.2642
5,0,high-drop,60,1,8,1,19.5,1.125,5.375,4.625,0,11.199999809265137,false,3cc7c72719957c174c117701f2af22f51a1d5ee84ff86a509d8236bbea05b92f,1,34.4546
5,0,occluded,60,1,4,1,3.375,1.5,3.875,2.6875,0.375,11.199999809265137,false,6f975042b7ff597b6aba4cccfd2c9749ba07f4c3c7281938d4318b51f5a8ed0d,1,34.0265
5,0.5,flat,60,1,21,1,16.5,1.25,17,13.21875,0.375,15.799999237060547,false,89b4b6f87f99ffa40c80052bb536dc9db25a7c5bef99908beb5ad32aa5269b87,1,37.4664
5,0.5,up30,60,1,2,1,1.625,1,2.25,1.421875,0.375,15.799999237060547,false,caeb825b111fc40d170e8b3008ab6527084a4ebdfe43d02a9cf07a33ceeb0886,1,35.601800000000004
5,0.5,down30,60,1,4,1,3.125,1.625,3.625,2.71875,0.5,15.799999237060547,false,607b872b98d01b44cf2e8d8bc8aee2f5945e69ac4b8221167edf52754d555e78,1,34.1098
5,0.5,wall-near,60,1,2,1,0.375,1.625,1.5625,1.640625,0.375,15.799999237060547,false,e471f2d5a42428e1eeca96fd9aaf01d36cae09f05aabd1aa08fbf911bc98b63e,1,38.136700000000005
5,0.5,wall-middle,60,1,8,1,6,1.625,6.5625,5.625,0.375,15.799999237060547,false,7b92d023fdfa8abc57211e35f623ff0a339944c2c966e06f2a99eb544d3a9d4d,1,38.9271
5,0.5,wall-far,60,1,16,1,12.375,1.625,12.875,10.75,0.375,15.799999237060547,false,d3116f8c278c7955b12401e0a494a16d395ac0d0938b700b11c6955a41ed4b67,1,39.6325
5,0.5,slope,60,1,13,1,6.875,1.625,10.6243896484375,8.359375,0.375,15.799999237060547,false,dfc97e023a84bbf1432d669b38336c18d6cc312f98456b1c73309c828ff9553a,1,42.585100000000004
5,0.5,high-drop,60,1,10,1,27.25,1.125,7.25,6.09375,0,15.799999237060547,false,741e8b735805fdd0f1e79a7257aa01e955a6f4c81de0103a04c7cf43a054d293,1,34.0553
5,0.5,occluded,60,1,3,1,2.75,1.375,3.25,2.0625,0.375,15.799999237060547,false,5398bc15dddf5f2bffafe3becc7f66df218a25c26da41aa7ef908a9dfb740683,1,32.781600000000005
5,0.98333334922790527,flat,60,1,27,1,21.25,1.25,21.75,17.328125,0.375,20.246665954589844,false,811288b41ed71246950be3d09645352d92fff1b88c2c0dcb85d4d81e0b94eff2,1,39.213300000000004
5,0.98333334922790527,up30,60,1,2,1,1.5,1,2.125,1.40625,0.375,20.246665954589844,false,4afce2f3216dc79b7181943c89e0bd484522bfcc139b7e971fa788011f92e435,1,36.2065
5,0.98333334922790527,down30,60,1,5,1,3.125,1.625,3.625,2.875,0.5,20.246665954589844,false,edd24fb51e1980d45f20cea998d42976ac496aa7016f5c494cf833878966ac1b,1,32.6864
5,0.98333334922790527,wall-near,60,1,2,1,0.375,1.625,1.5625,1.625,0.375,20.246665954589844,false,059155fd8a8930bdd4ff5c0c3568a9bd7d5ac784ab207a171fd2543f5fd2c145,1,35.910900000000005
5,0.98333334922790527,wall-middle,60,1,8,1,5.5,1.625,6.5625,5.375,0.375,20.246665954589844,false,3759aec2a097951d4653b83141f2026b4cbc32df2f93d6a72d271605c59fe732,1,38.9438
5,0.98333334922790527,wall-far,60,1,16,1,12.125,1.625,12.625,10.625,0.375,20.246665954589844,false,e7d8a61ab7911a794463e31b3d922f25014647ce4769dac1ab4b3f948c5391cb,1,41.1241
5,0.98333334922790527,slope,60,1,13,1,6.5,1.625,11.09423828125,8.578125,0.375,20.246665954589844,false,0ce1dd55075a8963795937e0bec68ae1325e1b3e7307bec94431e1f13e8566d8,1,39.9473
5,0.98333334922790527,high-drop,60,1,12,1,35.125,1.125,8.875,7.40625,0,20.246665954589844,false,f0a950e040670888c00088a117f8d0a846ef5d017a64cc072a729c4095156d75,1,36.0983
5,0.98333334922790527,occluded,60,1,4,1,3.25,1.5,3.75,2.59375,0.375,20.246665954589844,false,531ba474b990229c082ece922aa1343dbe6947c2605efeb261d99efe61495710,1,32.2222
5,1,flat,60,1,27,1,21.375,1.25,21.875,17.28125,0.375,20.399999618530273,false,edb28e57a49d9d3ce5f22aafe53fb45f2a34934d8de82f3dc32f27c00469ed2d,1,36.8881
5,1,up30,60,1,2,1,1.5,1,2.125,1.40625,0.375,20.399999618530273,false,83cf201bc0c830033292e8a97a2b1e2539175a899e72ed971e84c41d7eac4dc7,1,32.760200000000005
5,1,down30,60,1,5,1,3.125,1.625,3.625,2.875,0.5,20.399999618530273,false,0f2928712fa93a50ce5f881be3dd0a5cb7fa1264ab93cb3330cbb4d0be694456,1,32.7423
5,1,wall-near,60,1,2,1,0.375,1.625,1.5625,1.625,0.375,20.399999618530273,false,4e3f0747c17a90fdfde17fd693d8179831014f25bb27d0fcb7f085a890514ae6,1,37.6267
5,1,wall-middle,60,1,8,1,5.5,1.625,6.5625,5.359375,0.375,20.399999618530273,false,d7f9d8308fea81df4e499332926b554534adce9de3dca1596990cd1122f7411e,1,36.119
5,1,wall-far,60,1,16,1,12.125,1.625,12.625,10.578125,0.375,20.399999618530273,false,6b653dafb57a5efa34b04b19f4a00c89e94c9f80f4f2524ae755f39b7da48ee2,1,39.0651
5,1,slope,60,1,13,1,6.5,1.625,11.211669921875,8.703125,0.375,20.399999618530273,false,271cd3c796fd42c963bad5c97f888cda2f0760f3b094cedcd472a4e33d0ada02,1,44.4698
5,1,high-drop,60,1,12,1,35.375,1.125,9,7.46875,0,20.399999618530273,false,4911a7b27dee0e1f1cd92a04743bb9142488e911d013c8abd3a1719f355ad5d1,1,36.6145
5,1,occluded,60,1,4,1,3.25,1.5,3.75,2.59375,0.375,20.399999618530273,false,649a88abcc2626f6283fff4fcd4bad87a10094ac5021eff0efc9b0e79d63f15e,1,33.040800000000004
5,1,continuous,30,20,551,20,21.875,1.5,22.5,23.234375,0.5,20.399999618530273,false,c7799d57be288d41b60db79e5baf0aad90582a8db555932d6acf5a06fc2d47a9,1,134.1115
5,1,continuous,60,20,551,20,21.875,1.5,22.5,23.234375,0.5,20.399999618530273,false,c7799d57be288d41b60db79e5baf0aad90582a8db555932d6acf5a06fc2d47a9,1,135.24290000000002
5,1,continuous,144,20,505,20,21.875,1.5,22.5,23.765625,0.5,20.399999618530273,false,f1f60b1da98a8f91bc34b2082de57dd226360cef26bc826faf9163036c6201bc,1,133.4332
