hero,weapon,field,before,after,originalValue,evidenceLevel,sourceField,reference
1,RifleGirl,name,RifleGirlRifle,RifleGirlRifle,,retained-project-value,,
1,RifleGirl,neutralSwimSpeed,3,3,,retained-project-value,,
1,RifleGirl,paintDepthBreakMax,,2.24,2.24,source-explicit,PaintParam.DepthScaleMaxBreakFree,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,paintDepthBreakMin,,1.12,1.12,source-explicit,PaintParam.DepthScaleMinBreakFree,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,paintDepthMax,,2.24,2.24,source-explicit,PaintParam.DepthScaleMax,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,paintDepthMin,,1.31,1.31,source-explicit,PaintParam.DepthScaleMin,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,paintDistanceFar,,10.4,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,paintDistanceMiddle,,0.8237300827890337,1.1,source-explicit,PaintParam.DistanceMiddle,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,paintDropGravity,,43.13350251695304,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,paintDropLifetime,,5,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,paintHardness,0.55,0.55,,retained-project-value,,
1,RifleGirl,paintRadiusMax,1.5,1.44527187252985,1.93,source-explicit,PaintParam.WidthHalfNear,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,paintRadiusMin,1,1.2805258559720432,1.71,source-explicit,PaintParam.WidthHalfFar,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,paintStrength,1,1,,retained-project-value,,
1,RifleGirl,pelletCount,1,1,,retained-project-value,,
1,RifleGirl,portraitAddress,Portrait/RifleGirl,Portrait/RifleGirl,,retained-project-value,,
1,RifleGirl,projectileGravity,18,43.13350251695304,0.016,source-explicit,MoveParam.FreeGravity,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,recoverInk,10,10,,retained-project-value,,
1,RifleGirl,referenceBiasMax,,0.25,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceBiasMin,,0.01,0.01,source-explicit,WeaponParam.Stand_DegBiasMin,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceBiasPerShot,,0.01,0.01,source-explicit,WeaponParam.Stand_DegBiasKf,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceBiasRecovery,,0.8999999999999999,0.015,source-explicit,WeaponParam.Stand_DegBiasDecrease,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceBrakeDrag,,0.36,0.36,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceBrakeEndSpeed,,67.08158256021967,1.493,source-explicit,MoveParam.GoStraightStateEndMaxSpeed,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceBrakeGravity,,188.70907351166954,0.07,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceFootEvery,,1,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceFootRadius,,1.543220867828764,2.0608,source-explicit,SplashPaintParam.WidthHalfNearest,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceFreeDrag,,0,0,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceJumpBias,,0.4,0.4,source-explicit,WeaponParam.Jump_DegBiasMax,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceJumpEnd,,1.1666666666666667,70,source-explicit,WeaponParam.Jump_DegBiasEndFrame,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceJumpStart,,0.4166666666666667,25,source-explicit,WeaponParam.Jump_DegBiasDecreaseStartFrame,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referencePlayerRadius,,0.21342097599534052,0.285,source-explicit,CollisionParam.EndRadiusForPlayer,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceRules,,1,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceSpreadEnabled,,1,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceTrailBudget,,1.5,1.5,source-explicit,SplashSpawnParam.SpawnNum,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceTrailRandomPhase,,1,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,referenceTrailStart,,0.8986146357698549,1.2,source-explicit,SplashSpawnParam.SpawnNearestLength,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,semiBufferSeconds,0.0,0.0,,retained-project-value,,
1,RifleGirl,shootMoveSpeed,3.6,3.235012688771477,0.072,source-explicit,WeaponParam.MoveSpeed,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,shotInk,0.85,0.9199999999999999,0.0092,source-explicit,WeaponParam.InkConsume,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,speedMax,32,101.81303823272457,2.266,source-explicit,MoveParam.SpawnSpeed,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,speedMin,32,101.81303823272457,2.266,source-explicit,MoveParam.SpawnSpeed,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,splatlingChargeJumpSpeed,0,0,,retained-project-value,,
1,RifleGirl,splatlingChargeMoveSpeed,0,0,,retained-project-value,,
1,RifleGirl,splatlingFirstChargeSeconds,0.0,0.0,,retained-project-value,,
1,RifleGirl,splatlingFirstShootSeconds,0.0,0.0,,retained-project-value,,
1,RifleGirl,splatlingFootEvery,0,0,,retained-project-value,,
1,RifleGirl,splatlingFootRadius,0,0,,retained-project-value,,
1,RifleGirl,splatlingFullShootSeconds,0.0,0.0,,retained-project-value,,
1,RifleGirl,splatlingMinChargeSeconds,0.0,0.0,,retained-project-value,,
1,RifleGirl,splatlingPitchSpread,0,0,,retained-project-value,,
1,RifleGirl,splatlingPlayerRadius,0,0,,retained-project-value,,
1,RifleGirl,splatlingPostSeconds,0.0,0.0,,retained-project-value,,
1,RifleGirl,splatlingSlowChargeMultiplier,0,0,,retained-project-value,,
1,RifleGirl,splatlingSpeedBias,0,0,,retained-project-value,,
1,RifleGirl,splatlingSpreadBias,0,0,,retained-project-value,,
1,RifleGirl,splatlingTrailCount,0,0,,retained-project-value,,
1,RifleGirl,spreadDegrees,6,4.86,4.86,source-explicit,WeaponParam.Stand_DegSwerve,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,spreadExpandSeconds,1,1,,retained-project-value,,
1,RifleGirl,spreadRecoverSeconds,0.5,0.5,,retained-project-value,,
1,RifleGirl,startSeconds,0.03333333333333333,0.03333333333333333,,retained-project-value,,
1,RifleGirl,straightSeconds,0.16666666666666666,0.06666666666666667,4,source-explicit,MoveParam.GoStraightToBrakeStateFrame,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,swimAcceleration,50,50,,retained-project-value,,
1,RifleGirl,swimHealthRecoverRate,60,60,,retained-project-value,,
1,RifleGirl,swimRecoverInk,33.333332,33.333332,,retained-project-value,,
1,RifleGirl,swimSpeed,8,8.6267,0.192,source-explicit,Common.1130,Tools/ValidationData/WeaponAudit/Common.1130.json
1,RifleGirl,trailDepthScale,,1,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,trailMaxDrop,2.4,2.4,,retained-project-value,,
1,RifleGirl,trailRadiusMax,0.9,1.1023006198776886,1.472,source-explicit,SplashPaintParam.WidthHalf,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,trailRadiusMin,0.75,1.1023006198776886,1.472,source-explicit,SplashPaintParam.WidthHalf,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,trailSpacing,0.2,6.889378874235554,9.2,source-explicit,SplashSpawnParam.SpawnBetweenLength,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,wallDropGroundRadius,,0.44930731788492745,0.6,source-explicit,WallDropCollisionPaintParam.PaintRadiusGround,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,wallDropRadius,,0.48674959437533805,0.65,source-explicit,WallDropCollisionPaintParam.PaintRadiusFall,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,wallDropSeconds,,1.0833333333333333,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,wallDropSpeed,,2.6958439073095644,0.06,source-explicit,WallDropMoveParam.FallPeriodFirstTargetSpeed,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json
1,RifleGirl,wallGraceSeconds,0.1,0.1,,retained-project-value,,
1,RifleGirl,wallJumpSpeed,4,4,,retained-project-value,,
1,RifleGirl,wallProbeDistance,0.6,0.6,,retained-project-value,,
1,RifleGirl,wallSwimSpeed,4,4,,retained-project-value,,
1,RifleGirl,weaponConfigPath,Assets/GameResource/Weapons/RifleGirl/RifleGirlWeaponConfig.asset,Assets/GameResource/Weapons/RifleGirl/RifleGirlWeaponConfig.asset,,retained-project-value,,
1,RifleGirl,weaponPrefabAddress,Weapon/RifleGirlRifle,Weapon/RifleGirlRifle,,retained-project-value,,
1,RifleGirl,weaponTypeName,自动步枪,斯普拉射击枪,,retained-project-value,,
2,DualPistolGirl,airSwimBraking,30,30,,retained-project-value,,
2,DualPistolGirl,airSwimFallSpeed,1.5,1.5,,retained-project-value,,
2,DualPistolGirl,airSwimGravity,4,4,,retained-project-value,,
2,DualPistolGirl,airSwimSpeed,6,6,,retained-project-value,,
2,DualPistolGirl,baseJumpSpreadDegrees,0,0,,retained-project-value,,
2,DualPistolGirl,baseSpreadDegrees,0,0,,retained-project-value,,
2,DualPistolGirl,brakeSeconds,0.06666666666666667,0.06666666666666667,4,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,brakeSpeedMultiplier,0.66,0.66,,retained-project-value,,
2,DualPistolGirl,burstCount,1,1,,retained-project-value,,
2,DualPistolGirl,burstRecoverySeconds,0,0,,retained-project-value,,
2,DualPistolGirl,characterGravity,22,22,,retained-project-value,,
2,DualPistolGirl,characterPrefabAddress,Character/DualPistolGirl,Character/DualPistolGirl,,retained-project-value,,
2,DualPistolGirl,chargeMinDamage,0,0,,retained-project-value,,
2,DualPistolGirl,chargeMinInk,0,0,,retained-project-value,,
2,DualPistolGirl,chargeMinJumpSpread,0,0,,retained-project-value,,
2,DualPistolGirl,chargeMinRange,0,0,,retained-project-value,,
2,DualPistolGirl,chargeMinSpeed,0,0,,retained-project-value,,
2,DualPistolGirl,chargeMinSpread,0,0,,retained-project-value,,
2,DualPistolGirl,chargePartialMaxDamage,0,0,,retained-project-value,,
2,DualPistolGirl,chargeSeconds,0,0,,retained-project-value,,
2,DualPistolGirl,collisionRadius,0.14976910596164247,0.14976910596164247,0.2,source-explicit,CollisionParam.EndRadiusForField,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,damage,36,36,,retained-project-value,,
2,DualPistolGirl,damageMin,18,18,,retained-project-value,,
2,DualPistolGirl,damageReduceEndSeconds,0.6666666666666666,0.6666666666666666,,retained-project-value,,
2,DualPistolGirl,damageReduceStartSeconds,0.11666666666666667,0.11666666666666667,,retained-project-value,,
2,DualPistolGirl,displayName,夜雀,夜雀,,retained-project-value,,
2,DualPistolGirl,dualiesBrakeDrag,0.36,0.36,,retained-project-value,,
2,DualPistolGirl,dualiesBrakeEndSpeed,126.32275242334734,126.32275242334734,,retained-project-value,,
2,DualPistolGirl,dualiesBrakeGravity,188.70907351166954,188.70907351166954,,retained-project-value,,
2,DualPistolGirl,dualiesFootEvery,5,5,,retained-project-value,,
2,DualPistolGirl,dualiesFootRadius,1.591446519948413,1.591446519948413,,retained-project-value,,
2,DualPistolGirl,dualiesJumpBias,0.4,0.4,,retained-project-value,,
2,DualPistolGirl,dualiesJumpRecoverEndSeconds,1.1666666666666667,1.1666666666666667,,retained-project-value,,
2,DualPistolGirl,dualiesJumpRecoverStartSeconds,0.4166666666666667,0.4166666666666667,,retained-project-value,,
2,DualPistolGirl,dualiesPlayerRadius,0.21342097599534052,0.21342097599534052,,retained-project-value,,
2,DualPistolGirl,dualiesSpreadMaxBias,0.25,0.25,,retained-project-value,,
2,DualPistolGirl,dualiesSpreadMinBias,0.03,0.03,,retained-project-value,,
2,DualPistolGirl,dualiesSpreadPerShot,0.03,0.03,,retained-project-value,,
2,DualPistolGirl,dualiesSpreadRecoverPerSecond,0.3,0.3,,retained-project-value,,
2,DualPistolGirl,dualiesTrailCount,2,2,,retained-project-value,,
2,DualPistolGirl,dualiesTrailStartDistance,0.7488455298082124,0.7488455298082124,,retained-project-value,,
2,DualPistolGirl,effectiveRange,11.232682947123186,11.232682947123186,,retained-project-value,,
2,DualPistolGirl,emergeStartSeconds,0.06666666666666667,0.06666666666666667,,retained-project-value,,
2,DualPistolGirl,enemyInkDamageRate,20,20,,retained-project-value,,
2,DualPistolGirl,enemyInkHealthFloor,60,60,,retained-project-value,,
2,DualPistolGirl,enemyInkMultiplier,0.55,0.55,,retained-project-value,,
2,DualPistolGirl,fireMode,0,0,,retained-project-value,,
2,DualPistolGirl,fireRate,6.666666666666667,6.666666666666667,,retained-project-value,,
2,DualPistolGirl,healthRecoverDelay,1,1,,retained-project-value,,
2,DualPistolGirl,healthRecoverRate,30,30,,retained-project-value,,
2,DualPistolGirl,id,2,2,,retained-project-value,,
2,DualPistolGirl,inkRecoverLockSeconds,0.3333333333333333,0.3333333333333333,,retained-project-value,,
2,DualPistolGirl,jumpSpeed,7,7,,retained-project-value,,
2,DualPistolGirl,jumpSpreadDegrees,8,8,,retained-project-value,,
2,DualPistolGirl,landingSpreadRecoverSeconds,0.2,0.2,,retained-project-value,,
2,DualPistolGirl,lifetime,10,10,,retained-project-value,,
2,DualPistolGirl,mantleSeconds,0.25,0.25,,retained-project-value,,
2,DualPistolGirl,maxHealth,100,100,,retained-project-value,,
2,DualPistolGirl,maxInk,100,100,,retained-project-value,,
2,DualPistolGirl,motionMode,3,3,,retained-project-value,,
2,DualPistolGirl,moveAcceleration,40,40,,retained-project-value,,
2,DualPistolGirl,moveSpeed,5,4.31335,0.096,source-explicit,Common.1130,Tools/ValidationData/WeaponAudit/Common.1130.json
2,DualPistolGirl,muzzleMode,1,1,,retained-project-value,,
2,DualPistolGirl,name,DualPistolGirl,DualPistolGirl,,retained-project-value,,
2,DualPistolGirl,neutralSwimSpeed,3,3,,retained-project-value,,
2,DualPistolGirl,paintDepthBreakMax,,2.24,2.24,source-explicit,PaintParam.DepthScaleMaxBreakFree,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,paintDepthBreakMin,,1.12,1.12,source-explicit,PaintParam.DepthScaleMinBreakFree,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,paintDepthMax,,2.24,2.24,source-explicit,PaintParam.DepthScaleMax,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,paintDepthMin,,1.31,1.31,source-explicit,PaintParam.DepthScaleMin,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,paintDistanceFar,,11.232682947123186,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,paintDistanceMiddle,,0.8237300827890337,1.1,source-explicit,PaintParam.DistanceMiddle,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,paintDropGravity,,43.13350251695304,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,paintDropLifetime,,5,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,paintHardness,0.55,0.55,,retained-project-value,,
2,DualPistolGirl,paintRadiusMax,1.4976910596164248,1.4976910596164248,2.0,source-explicit,PaintParam.WidthHalfNear,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,paintRadiusMin,1.4078295960394391,1.4078295960394391,1.88,source-explicit,PaintParam.WidthHalfFar,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,paintStrength,1,1,,retained-project-value,,
2,DualPistolGirl,pelletCount,1,1,,retained-project-value,,
