weapon,path,value,projectFields,status
1,GameParameters.WeaponParam.MoveSpeed,0.072,shootMoveSpeed,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WeaponParam.ShotGuideFrame,8,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WeaponParam.SquidShotShorteningFrame,1,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WeaponParam.Stand_DegBiasDecrease,0.015,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WeaponParam.Stand_DegBiasKf,0.01,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WeaponParam.Stand_DegBiasMin,0.01,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
1,GameParameters.WeaponParam.Stand_DegSwerve,4.86,spreadDegrees,原始覆盖；不包含缺失的类型默认值
1,GameParameters.spl__SpawnBulletAdditionMovePlayerParam.ZRate,2.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.CollisionParam.ChangeFrameForField,0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.CollisionParam.EndRadiusForField,0.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.CollisionParam.EndRadiusForPlayer,0.3,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.CollisionParam.FriendThroughFrameForPlayer,0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.CollisionParam.InitRadiusForField,0.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.CollisionParam.InitRadiusForPlayer,0.3,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.DamageParam.ReduceEndFrame,24,damageReduceEndFrames,原始覆盖；不包含缺失的类型默认值
2,GameParameters.DamageParam.ReduceStartFrame,8,damageReduceStartFrames,原始覆盖；不包含缺失的类型默认值
2,GameParameters.DamageParam.ValueMax,240,damage,原始覆盖；不包含缺失的类型默认值
2,GameParameters.DamageParam.ValueMin,120,damageMin,原始覆盖；不包含缺失的类型默认值
2,GameParameters.MainWeaponSetting.WeaponSpeedType,"""Fast""",未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.MoveParam.FreeGravity,0.016,gravity,原始覆盖；不包含缺失的类型默认值
2,GameParameters.MoveParam.GoStraightStateEndMaxSpeed,1.9513,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.MoveParam.GoStraightToBrakeStateFrame,3,straightFrames,原始覆盖；不包含缺失的类型默认值
2,GameParameters.MoveParam.SpawnSpeed,2.266,"speedMin,speedMax",原始覆盖；不包含缺失的类型默认值
2,GameParameters.PaintParam.DepthScaleMax,2.5,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.PaintParam.DepthScaleMaxBreakFree,2.5,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.PaintParam.DepthScaleMin,1.25,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.PaintParam.DepthScaleMinBreakFree,1.07,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.PaintParam.DistanceFar,15.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.PaintParam.DistanceMiddle,4.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.PaintParam.DistanceNear,2.1,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.PaintParam.WidthHalfFar,2.051,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.PaintParam.WidthHalfMiddle,2.145,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.PaintParam.WidthHalfNear,2.31,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.SplashPaintParam.DepthMaxDropHeight,3.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.SplashPaintParam.DepthMinDropHeight,10.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.SplashPaintParam.WidthHalf,1.52,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.SplashPaintParam.WidthHalfNearest,1.932,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.SplashSpawnParam.ForceSpawnNearestAddNumArray,[4],未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.SplashSpawnParam.SpawnBetweenLength,12.5,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.SplashSpawnParam.SpawnNearestLength,1.3,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.SplashSpawnParam.SpawnNum,1.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.SplashSpawnParam.SplitNum,8,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WallDropCollisionPaintParam.PaintRadiusFall,0.65,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WallDropCollisionPaintParam.PaintRadiusGround,0.6,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WallDropCollisionPaintParam.PaintRadiusShock,1.56,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WallDropMoveParam.FallPeriodFirstFrameMax,40,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WallDropMoveParam.FallPeriodFirstFrameMin,20,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WallDropMoveParam.FallPeriodFirstTargetSpeed,0.06,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WallDropMoveParam.FallPeriodLastFrameMax,35,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WallDropMoveParam.FallPeriodLastFrameMin,15,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WallDropMoveParam.FallPeriodSecondFrame,10,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WallDropMoveParam.FallPeriodSecondTargetSpeed,0.06,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WallDropMoveParam.FreeGravityType,"""value_0_008""",未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.InkConsume,0.005,shotInk,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.InkRecoverStop,15,inkRecoverLockFrames,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.Jump_DegBiasDecreaseStartFrame,25,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.Jump_DegBiasEndFrame,70,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.Jump_DegBiasMax,0.4,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.Jump_DegSwerve,15.54,jumpSpreadDegrees,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.MoveSpeed,0.072,shootMoveSpeed,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.PostDelayFrame,2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.RepeatFrame,4,"fireRate,fireIntervalFrames",原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.ShotGuideFrame,8,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.SquidShotShorteningFrame,2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.Stand_DegBiasDecrease,0.01,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.Stand_DegBiasKf,0.03,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.Stand_DegBiasMax,0.5,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.Stand_DegBiasMin,0.06,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
2,GameParameters.WeaponParam.Stand_DegSwerve,12.63,spreadDegrees,原始覆盖；不包含缺失的类型默认值
2,GameParameters.spl__SpawnBulletAdditionMovePlayerParam.ZRate,2.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.CollisionParam.ChangeFrameForField,0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.CollisionParam.EndRadiusForField,0.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.CollisionParam.EndRadiusForPlayer,0.285,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.CollisionParam.FriendThroughFrameForPlayer,0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.CollisionParam.InitRadiusForField,0.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.CollisionParam.InitRadiusForPlayer,0.285,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.DamageParam.ReduceEndFrame,27,damageReduceEndFrames,原始覆盖；不包含缺失的类型默认值
3,GameParameters.DamageParam.ReduceStartFrame,11,damageReduceStartFrames,原始覆盖；不包含缺失的类型默认值
3,GameParameters.DamageParam.ValueMax,520,damage,原始覆盖；不包含缺失的类型默认值
3,GameParameters.DamageParam.ValueMin,300,damageMin,原始覆盖；不包含缺失的类型默认值
3,GameParameters.MoveParam.FreeAirResist,0.02,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.MoveParam.FreeGravity,0.016,gravity,原始覆盖；不包含缺失的类型默认值
3,GameParameters.MoveParam.GoStraightStateEndMaxSpeed,1.667,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.MoveParam.GoStraightToBrakeStateFrame,3,straightFrames,原始覆盖；不包含缺失的类型默认值
3,GameParameters.MoveParam.SpawnSpeed,3.06,"speedMin,speedMax",原始覆盖；不包含缺失的类型默认值
3,GameParameters.PaintParam.DepthScaleMax,2.24,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.PaintParam.DepthScaleMaxBreakFree,2.24,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.PaintParam.DepthScaleMin,1.31,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.PaintParam.DepthScaleMinBreakFree,1.12,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.PaintParam.DistanceMiddle,1.1,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.PaintParam.WidthHalfFar,2.07,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.PaintParam.WidthHalfMiddle,2.11,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.PaintParam.WidthHalfNear,2.11,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.SplashPaintParam.DepthMaxDropHeight,3.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.SplashPaintParam.DepthMinDropHeight,10.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.SplashPaintParam.WidthHalf,1.495,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.SplashPaintParam.WidthHalfNearest,2.16775,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.SplashSpawnParam.ForceSpawnNearestAddNumArray,[2],未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.SplashSpawnParam.SpawnBetweenLength,5.5,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.SplashSpawnParam.SpawnNearestLength,1.3,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.SplashSpawnParam.SpawnNum,2.4,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.SplashSpawnParam.SplitNum,5,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WallDropCollisionPaintParam.PaintRadiusFall,0.65,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WallDropCollisionPaintParam.PaintRadiusGround,0.6,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WallDropCollisionPaintParam.PaintRadiusShock,1.56,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WallDropMoveParam.FallPeriodFirstFrameMax,40,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WallDropMoveParam.FallPeriodFirstFrameMin,20,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WallDropMoveParam.FallPeriodFirstTargetSpeed,0.06,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WallDropMoveParam.FallPeriodLastFrameMax,35,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WallDropMoveParam.FallPeriodLastFrameMin,15,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WallDropMoveParam.FallPeriodSecondFrame,10,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WallDropMoveParam.FallPeriodSecondTargetSpeed,0.06,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WallDropMoveParam.FreeGravityType,"""value_0_008""",未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.InkConsume,0.015,shotInk,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.Jump_DegBiasDecreaseStartFrame,25,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.Jump_DegBiasEndFrame,70,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.Jump_DegBiasMax,0.4,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.Jump_DegSwerve,12.0,jumpSpreadDegrees,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.MoveSpeed,0.06,shootMoveSpeed,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.PostDelayFrame,3,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.RepeatFrame,9,"fireRate,fireIntervalFrames",原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.ShotGuideFrame,11,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.SquidShotShorteningFrame,1,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.Stand_DegBiasDecrease,0.015,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.Stand_DegBiasKf,0.03,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.Stand_DegBiasMin,0.02,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
3,GameParameters.WeaponParam.Stand_DegSwerve,6.0,spreadDegrees,原始覆盖；不包含缺失的类型默认值
3,GameParameters.spl__SpawnBulletAdditionMovePlayerParam.ZRate,2.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.CollisionParam.ChangeFrameForField,0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.CollisionParam.EndRadiusForField,0.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.CollisionParam.EndRadiusForPlayer,0.26,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.CollisionParam.FriendThroughFrameForPlayer,0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.CollisionParam.InitRadiusForField,0.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.CollisionParam.InitRadiusForPlayer,0.26,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.DamageParam.ReduceEndFrame,40,damageReduceEndFrames,原始覆盖；不包含缺失的类型默认值
4,GameParameters.DamageParam.ReduceStartFrame,8,damageReduceStartFrames,原始覆盖；不包含缺失的类型默认值
4,GameParameters.DamageParam.ValueMax,310,damage,原始覆盖；不包含缺失的类型默认值
4,GameParameters.DamageParam.ValueMin,155,damageMin,原始覆盖；不包含缺失的类型默认值
4,GameParameters.MoveParam.GoStraightStateEndMaxSpeed,1.946,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.MoveParam.GoStraightToBrakeStateFrame,3,straightFrames,原始覆盖；不包含缺失的类型默认值
4,GameParameters.MoveParam.SpawnSpeed,3.567,"speedMin,speedMax",原始覆盖；不包含缺失的类型默认值
4,GameParameters.PaintParam.DepthScaleMax,2.24,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.PaintParam.DepthScaleMaxBreakFree,2.24,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.PaintParam.DepthScaleMin,1.31,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.PaintParam.DepthScaleMinBreakFree,1.12,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.PaintParam.DistanceMiddle,1.1,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.PaintParam.WidthHalfFar,1.7765,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.PaintParam.WidthHalfMiddle,1.7765,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.PaintParam.WidthHalfNear,1.7765,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.SplashPaintParam.DepthMaxDropHeight,3.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.SplashPaintParam.DepthMinDropHeight,10.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.SplashPaintParam.WidthHalf,1.7825,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.SplashPaintParam.WidthHalfNearest,2.4955,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.SplashSpawnParam.ForceSpawnNearestAddNumArray,"[3, 6, 9]",未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.SplashSpawnParam.SpawnBetweenLength,12.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.SplashSpawnParam.SpawnNearestLength,1.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.SplashSpawnParam.SpawnNum,1.5,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.SplashSpawnParam.SplitNum,12,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WallDropCollisionPaintParam.PaintRadiusFall,0.65,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WallDropCollisionPaintParam.PaintRadiusGround,0.6,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WallDropCollisionPaintParam.PaintRadiusShock,1.56,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WallDropMoveParam.FallPeriodFirstFrameMax,40,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WallDropMoveParam.FallPeriodFirstFrameMin,20,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WallDropMoveParam.FallPeriodFirstTargetSpeed,0.06,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WallDropMoveParam.FallPeriodLastFrameMax,35,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WallDropMoveParam.FallPeriodLastFrameMin,15,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WallDropMoveParam.FallPeriodSecondFrame,10,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WallDropMoveParam.FallPeriodSecondTargetSpeed,0.06,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.BurstAimMoveFrame,20,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.InkConsume,0.011,shotInk,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.InkRecoverStop,25,inkRecoverLockFrames,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.Jump_DegBiasDecreaseStartFrame,25,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.Jump_DegBiasEndFrame,70,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.Jump_DegBiasMax,0.4,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.Jump_DegSwerve,6.0,jumpSpreadDegrees,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.MoveSpeed,0.08,shootMoveSpeed,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.PostDelayFrame,2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.RepeatFrame,4,"fireRate,fireIntervalFrames",原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.ShotGuideFrame,8,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.Stand_DegBiasDecrease,0.005,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.Stand_DegBiasKf,0.01,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.Stand_DegBiasMin,0.01,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.Stand_DegSwerve,1.0,spreadDegrees,原始覆盖；不包含缺失的类型默认值
4,GameParameters.WeaponParam.TripleShotSpanFrame,8,burstRecoveryFrames,原始覆盖；不包含缺失的类型默认值
