hero,weapon,field,before,after,evidence,reference,originalValue,sourceField,evidenceLevel,conversionFactor
1,RifleGirl,referenceBrakeEndSpeed,<new field>,67.08158256021967,MoveParam.GoStraightStateEndMaxSpeed * 60S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,1.493,MoveParam.GoStraightStateEndMaxSpeed,source-explicit,44.93073178849274
1,RifleGirl,straightSeconds,0.16666666666666666,0.06666666666666667,MoveParam.GoStraightToBrakeStateFrame / 60,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,4,MoveParam.GoStraightToBrakeStateFrame,source-explicit,0.016666666666666666
1,RifleGirl,referencePlayerRadius,<new field>,0.21342097599534052,CollisionParam.EndRadiusForPlayer * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.285,CollisionParam.EndRadiusForPlayer,source-explicit,0.7488455298082124
1,RifleGirl,collisionRadius,0.025,0.14976910596164247,CollisionParam.EndRadiusForField * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.2,CollisionParam.EndRadiusForField,source-explicit,0.7488455298082123
1,RifleGirl,motionMode,<new field>,4,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
1,RifleGirl,speedMin,32,101.81303823272457,MoveParam.SpawnSpeed * 60S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,2.266,MoveParam.SpawnSpeed,source-explicit,44.93073178849275
1,RifleGirl,speedMax,32,101.81303823272457,MoveParam.SpawnSpeed * 60S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,2.266,MoveParam.SpawnSpeed,source-explicit,44.93073178849275
1,RifleGirl,paintRadiusMin,1,1.2805258559720432,PaintParam.WidthHalfFar * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,1.71,PaintParam.WidthHalfFar,source-explicit,0.7488455298082124
1,RifleGirl,paintRadiusMax,1.5,1.44527187252985,PaintParam.WidthHalfNear * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,1.93,PaintParam.WidthHalfNear,source-explicit,0.7488455298082124
1,RifleGirl,paintDepthMin,<new field>,1.31,PaintParam.DepthScaleMin,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,1.31,PaintParam.DepthScaleMin,source-explicit,1.0
1,RifleGirl,paintDepthMax,<new field>,2.24,PaintParam.DepthScaleMax,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,2.24,PaintParam.DepthScaleMax,source-explicit,1.0
1,RifleGirl,paintDepthBreakMin,<new field>,1.12,PaintParam.DepthScaleMinBreakFree,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,1.12,PaintParam.DepthScaleMinBreakFree,source-explicit,1.0
1,RifleGirl,paintDepthBreakMax,<new field>,2.24,PaintParam.DepthScaleMaxBreakFree,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,2.24,PaintParam.DepthScaleMaxBreakFree,source-explicit,1.0
1,RifleGirl,paintDistanceMiddle,<new field>,0.8237300827890337,PaintParam.DistanceMiddle * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,1.1,PaintParam.DistanceMiddle,source-explicit,0.7488455298082124
1,RifleGirl,paintDistanceFar,<new field>,10.4,project reference range,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
1,RifleGirl,trailRadiusMin,0.75,1.1023006198776886,SplashPaintParam.WidthHalf * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,1.472,SplashPaintParam.WidthHalf,source-explicit,0.7488455298082124
1,RifleGirl,trailRadiusMax,0.9,1.1023006198776886,SplashPaintParam.WidthHalf * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,1.472,SplashPaintParam.WidthHalf,source-explicit,0.7488455298082124
1,RifleGirl,referenceTrailBudget,<new field>,1.5,SplashSpawnParam.SpawnNum; fractional count is project Bernoulli approximation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,1.5,SplashSpawnParam.SpawnNum,source-explicit,1.0
1,RifleGirl,trailSpacing,0.2,6.889378874235554,SplashSpawnParam.SpawnBetweenLength * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,9.2,SplashSpawnParam.SpawnBetweenLength,source-explicit,0.7488455298082124
1,RifleGirl,referenceTrailStart,<new field>,0.8986146357698549,SplashSpawnParam.SpawnNearestLength * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,1.2,SplashSpawnParam.SpawnNearestLength,source-explicit,0.7488455298082124
1,RifleGirl,referenceTrailRandomPhase,<new field>,1,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
1,RifleGirl,referenceFootRadius,<new field>,1.543220867828764,SplashPaintParam.WidthHalfNearest * S; schedule is adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,2.0608,SplashPaintParam.WidthHalfNearest,source-explicit,0.7488455298082124
1,RifleGirl,trailDepthScale,<new field>,1,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
1,RifleGirl,wallDropRadius,<new field>,0.48674959437533805,WallDropCollisionPaintParam.PaintRadiusFall * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.65,WallDropCollisionPaintParam.PaintRadiusFall,source-explicit,0.7488455298082124
1,RifleGirl,wallDropGroundRadius,<new field>,0.44930731788492745,WallDropCollisionPaintParam.PaintRadiusGround * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.6,WallDropCollisionPaintParam.PaintRadiusGround,source-explicit,0.7488455298082124
1,RifleGirl,wallDropSpeed,<new field>,2.6958439073095644,WallDropMoveParam.FallPeriodFirstTargetSpeed * 60S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.06,WallDropMoveParam.FallPeriodFirstTargetSpeed,source-explicit,44.93073178849274
1,RifleGirl,wallDropSeconds,<new field>,1.0833333333333333,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
1,RifleGirl,fireRate,15,10,inherited reference RepeatFrame=6,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
1,RifleGirl,shotInk,0.85,0.9199999999999999,WeaponParam.InkConsume * 100,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.0092,WeaponParam.InkConsume,source-explicit,100.0
1,RifleGirl,referenceSpreadEnabled,<new field>,1,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
1,RifleGirl,referenceBiasMin,<new field>,0.01,WeaponParam.Stand_DegBiasMin,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.01,WeaponParam.Stand_DegBiasMin,source-explicit,1.0
1,RifleGirl,referenceBiasMax,<new field>,0.25,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,,,project-adaptation,
1,RifleGirl,referenceBiasPerShot,<new field>,0.01,WeaponParam.Stand_DegBiasKf,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.01,WeaponParam.Stand_DegBiasKf,source-explicit,1.0
1,RifleGirl,referenceJumpBias,<new field>,0.4,WeaponParam.Jump_DegBiasMax,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.4,WeaponParam.Jump_DegBiasMax,source-explicit,1.0
1,RifleGirl,referenceBiasRecovery,<new field>,0.8999999999999999,WeaponParam.Stand_DegBiasDecrease * 60,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,0.015,WeaponParam.Stand_DegBiasDecrease,source-explicit,59.99999999999999
1,RifleGirl,spreadDegrees,6,4.86,WeaponParam.Stand_DegSwerve,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,4.86,WeaponParam.Stand_DegSwerve,source-explicit,1.0
1,RifleGirl,jumpSpreadDegrees,12,11.66,WeaponParam.Jump_DegSwerve,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,11.66,WeaponParam.Jump_DegSwerve,source-explicit,1.0
1,RifleGirl,referenceJumpStart,<new field>,0.4166666666666667,WeaponParam.Jump_DegBiasDecreaseStartFrame / 60,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,25,WeaponParam.Jump_DegBiasDecreaseStartFrame,source-explicit,0.016666666666666666
1,RifleGirl,referenceJumpEnd,<new field>,1.1666666666666667,WeaponParam.Jump_DegBiasEndFrame / 60,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterNormal.game__GameParameterTable.json,70,WeaponParam.Jump_DegBiasEndFrame,source-explicit,0.016666666666666666
2,DualPistolGirl,referenceRules,<new field>,1,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,,,project-adaptation,
2,DualPistolGirl,shootMoveSpeed,3.125,2.6958439073095644,WeaponParam.MoveSpeed * 60S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,0.06,WeaponParam.MoveSpeed,source-explicit,44.93073178849274
2,DualPistolGirl,referenceBrakeDrag,<new field>,0.36,sendou default per frame,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,0.36,,reference-simulator-default,1.0
2,DualPistolGirl,referenceBrakeGravity,<new field>,188.70907351166954,sendou default * 3600S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,0.07,,reference-simulator-default,2695.8439073095647
2,DualPistolGirl,referenceFreeDrag,<new field>,0,sendou default per frame,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,0,,reference-simulator-default,
2,DualPistolGirl,projectileGravity,43.13350251695304,43.13350251695304,MoveParam.FreeGravity / sendou default * 3600S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,0.016,MoveParam.FreeGravity,source-explicit,2695.8439073095647
2,DualPistolGirl,brakeSeconds,0.06666666666666667,0.06666666666666667,sendou default / 60,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,4,,reference-simulator-default,0.016666666666666666
2,DualPistolGirl,paintDropGravity,<new field>,43.13350251695304,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,,,project-adaptation,
2,DualPistolGirl,paintDropLifetime,<new field>,5,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,,,project-adaptation,
2,DualPistolGirl,referenceFootEvery,<new field>,5,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,,,project-adaptation,
2,DualPistolGirl,referenceBrakeEndSpeed,<new field>,126.32275242334735,MoveParam.GoStraightStateEndMaxSpeed * 60S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,2.8115,MoveParam.GoStraightStateEndMaxSpeed,source-explicit,44.93073178849274
2,DualPistolGirl,straightSeconds,0.05,0.05,MoveParam.GoStraightToBrakeStateFrame / 60,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,3,MoveParam.GoStraightToBrakeStateFrame,source-explicit,0.016666666666666666
2,DualPistolGirl,referencePlayerRadius,<new field>,0.21342097599534052,CollisionParam.EndRadiusForPlayer * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,0.285,CollisionParam.EndRadiusForPlayer,source-explicit,0.7488455298082124
2,DualPistolGirl,collisionRadius,0.14976910596164247,0.14976910596164247,CollisionParam.EndRadiusForField * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,0.2,CollisionParam.EndRadiusForField,source-explicit,0.7488455298082123
2,DualPistolGirl,paintRadiusMin,1.4078295960394391,1.4078295960394391,PaintParam.WidthHalfFar * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,1.88,PaintParam.WidthHalfFar,source-explicit,0.7488455298082124
2,DualPistolGirl,paintRadiusMax,1.4976910596164248,1.4976910596164248,PaintParam.WidthHalfNear * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,2.0,PaintParam.WidthHalfNear,source-explicit,0.7488455298082124
2,DualPistolGirl,paintDepthMin,<new field>,1.31,PaintParam.DepthScaleMin,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,1.31,PaintParam.DepthScaleMin,source-explicit,1.0
2,DualPistolGirl,paintDepthMax,<new field>,2.24,PaintParam.DepthScaleMax,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,2.24,PaintParam.DepthScaleMax,source-explicit,1.0
2,DualPistolGirl,paintDepthBreakMin,<new field>,1.12,PaintParam.DepthScaleMinBreakFree,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,1.12,PaintParam.DepthScaleMinBreakFree,source-explicit,1.0
2,DualPistolGirl,paintDepthBreakMax,<new field>,2.24,PaintParam.DepthScaleMaxBreakFree,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,2.24,PaintParam.DepthScaleMaxBreakFree,source-explicit,1.0
2,DualPistolGirl,paintDistanceMiddle,<new field>,0.8237300827890337,PaintParam.DistanceMiddle * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,1.1,PaintParam.DistanceMiddle,source-explicit,0.7488455298082124
2,DualPistolGirl,paintDistanceFar,<new field>,11.232682947123186,project reference range,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,,,project-adaptation,
2,DualPistolGirl,trailRadiusMin,1.1367475142488663,1.1367475142488663,SplashPaintParam.WidthHalf * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,1.518,SplashPaintParam.WidthHalf,source-explicit,0.7488455298082123
2,DualPistolGirl,trailRadiusMax,1.1367475142488663,1.1367475142488663,SplashPaintParam.WidthHalf * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,1.518,SplashPaintParam.WidthHalf,source-explicit,0.7488455298082123
2,DualPistolGirl,referenceTrailBudget,<new field>,2.0,SplashSpawnParam.SpawnNum; fractional count is project Bernoulli approximation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,2.0,SplashSpawnParam.SpawnNum,source-explicit,1.0
2,DualPistolGirl,trailSpacing,5.2419187086574865,5.2419187086574865,SplashSpawnParam.SpawnBetweenLength * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,7.0,SplashSpawnParam.SpawnBetweenLength,source-explicit,0.7488455298082124
2,DualPistolGirl,referenceTrailStart,<new field>,0.7488455298082124,SplashSpawnParam.SpawnNearestLength * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,1.0,SplashSpawnParam.SpawnNearestLength,source-explicit,0.7488455298082124
2,DualPistolGirl,referenceTrailRandomPhase,<new field>,0,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,,,project-adaptation,
2,DualPistolGirl,referenceFootRadius,<new field>,1.591446519948413,SplashPaintParam.WidthHalfNearest * S; schedule is adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,2.1252,SplashPaintParam.WidthHalfNearest,source-explicit,0.7488455298082124
2,DualPistolGirl,trailDepthScale,<new field>,1,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,,,project-adaptation,
2,DualPistolGirl,wallDropRadius,<new field>,0.48674959437533805,WallDropCollisionPaintParam.PaintRadiusFall * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,0.65,WallDropCollisionPaintParam.PaintRadiusFall,source-explicit,0.7488455298082124
2,DualPistolGirl,wallDropGroundRadius,<new field>,0.44930731788492745,WallDropCollisionPaintParam.PaintRadiusGround * S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,0.6,WallDropCollisionPaintParam.PaintRadiusGround,source-explicit,0.7488455298082124
2,DualPistolGirl,wallDropSpeed,<new field>,2.6958439073095644,WallDropMoveParam.FallPeriodFirstTargetSpeed * 60S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,0.06,WallDropMoveParam.FallPeriodFirstTargetSpeed,source-explicit,44.93073178849274
2,DualPistolGirl,wallDropSeconds,<new field>,1.0833333333333333,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json,,,project-adaptation,
4,PistolGirl,referenceRules,<new field>,1,project-adaptation,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json,,,project-adaptation,
4,PistolGirl,shootMoveSpeed,3.6,3.235012688771477,WeaponParam.MoveSpeed * 60S,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json,0.072,WeaponParam.MoveSpeed,source-explicit,44.930731788492736
